file_name,chunk_index,heading,snippet
cuad_001.pdf,0,Document Start,"Datasheet for Contract Understanding Atticus Dataset (CUAD)     I. MOTIVATION     A. Who created the dataset (e.g., which team, research group) and on behalf of which entity (e.g. company,                                   institution, organization)?     The Atticus Project is a non-profit organization whose mission is to harness the power of AI to accelerate                                     ac"
cuad_001.pdf,1,--- PAGE BREAK ---,"C. Does the dataset contain all possible instances or is it just a sample of a larger set? i.e. Is the dataset                                             different than an original one due to the preprocessing process? In case this dataset is a subset of another one, is                                           the original dataset available?     The dataset includes commercial contracts selected"
cuad_001.pdf,2,--- PAGE BREAK ---,"Each category supports a contract review task which is to extract from an underlying contract (1) text context                                     (sometimes referred to as clauses) and (2) human-input answers that correspond to each of the 41 categories in                                     these contracts. For example, in response to the “Governing Law” category, the clause states “This Agreeme"
cuad_001.pdf,3,--- PAGE BREAK ---,"Similarly, a “License Grant” clause may also correspond to “Exclusive License”, “Non-Transferable                           License” and “Affiliate License-Licensee” categories.     E. What is the format of the data? e.g. .json, .xml, .csv.     The files in CUAD v1 include 1 CSV file, 1 SQuAD-style JSON file, 28 Excel files, 510 PDF files, and 510 TXT   files.     - 1 master clauses CSV: a 83-colu"
cuad_001.pdf,4,--- PAGE BREAK ---,"For the other categories, annotators selected segments of the text in the contract that are responsive to each                                     such category. One category in a contract may include multiple labels. For example, “Parties” may include 4-10                                   separate text strings that are not continuous in a contract. The answer is presented in the unified format  "
cuad_001.pdf,5,--- PAGE BREAK ---,"K. Does the dataset contain data that might be considered confidential? e.g. data that is protected by legal                                     privilege or by doctor patient confidentiality, data that includes the content of individuals non-public                             communications. If so, please provide a description.     No. The contracts in the dataset are filed with the SEC and publi"
cuad_001.pdf,6,COLLECTION PROCESS,"A. How was the data associated with each instance acquired? Was the data directly observable (e.g., raw                                 text, movie ratings), reported by subjects (e.g., survey responses), or indirectly inferred/derived from other data                               (e.g., part-of-speech tags, model-based guesses for age or language)? If data was reported by subjects or             "
cuad_001.pdf,7,--- PAGE BREAK ---,"considered important by experienced attorneys in due diligence review in connection with a corporate transaction.                               Such transactions include mergers & acquisitions, investments, initial public offering, etc.     Our labeling process included multiple steps to ensure accuracy:   1. Law Student training: law students attended training sessions on each of the categories t"
cuad_001.pdf,8,--- PAGE BREAK ---,"The contracts were downloaded from EDGAR between March and November 2020, and manually labeled                               between March 2020 and January 2021. The dates when the contracts were signed are as set forth in the                                       underlying contracts.     F. Did the collection process involve the participation of individual people? If so, please report any       "
cuad_001.pdf,9,IV. PREPROCESSING/CLEANING/LABELLING,"A. Was any preprocessing/cleaning/labeling of the data done (e.g., discretization or bucketing, tokenization,                         part-of-speech tagging, SIFT feature extraction, removal of instances, processing of missing values)? If so, please                               provide a description. If not, you may skip the remainder of the questions in this section.     See III-B for details on"
cuad_001.pdf,10,--- PAGE BREAK ---,"B. Is there a repository that links to any or all papers or systems that use this dataset? If so, please provide a                                             link or any other access point.     Visit the Atticus Project github account at: ​   ​ https://github.com/TheAtticusProject     C. What (other) tasks could the dataset be used for? Please include your own intentions, if any.      See I-C abo"
cuad_001.pdf,11,VI. DISTRIBUTION,"A. Will the dataset be distributed to third parties outside of the entity (e.g., company, institution, organization) on                                     behalf of which the dataset was created? If so, please provide a description.     Yes. The dataset is open sourced and publicly available.       B. How will the dataset will be distributed (e.g., tarball on website, API, GitHub)? Does the datas"
cuad_001.pdf,12,--- PAGE BREAK ---,"Note: we make no representations or warranties regarding the license status of the underlying contracts, which   are publicly available and downloadable from EDGAR.     In addition, the use of dataset is subject to our privacy policy  ​ https://www.atticusprojectai.org/privacy-policy ​  and   disclaimer https://www.atticusprojectai.org/disclaimer.     E. Have any third parties imposed IP-based or "
cuad_001.pdf,13,VII. MAINTENANCE,"less -S chunk_snippets_200.csvA. Who will be supporting/hosting/maintaining the dataset?     The dataset is hosted and maintained by The Atticus Project, a non-profit organization.     B. How can the owner/curator/manager of the dataset be contacted (e.g., email address)?      Contact us via email at info@atticusprojectai.org.     D. Is there an erratum? If so, please provide a link or other access point.     None at this time"
cuad_002.pdf,0,Document Start,"Exhibit 10.33   Last Updated:  April 6, 2007    --- CHASE AFFILIATE AGREEMENT ---  THIS AGREEMENT sets forth the terms and conditions agreed to between Chase Bank USA, N.A. (?Chase?) and you as an “Affiliate” in the Chase Affiliate Program (the “Affiliate Program”). Once accepted into the Affiliate Program, an Affiliate can establish links from the Affiliate’s Website to [Chase.com]. Chase will pa"
cuad_002.pdf,1,--- PAGE BREAK ---,"• Incorporates any materials which infringe or assist others to infringe on any copyright, trademark or other intellectual property rights   • Contains or promotes politically sensitive or controversial issues   Chase also reserves the right to terminate this Agreement in the event that any Restricted Content is incorporated on Affiliate’s site after acceptance of your registration form and the co"
cuad_002.pdf,2,• SPEEDWAY SUPER AMERICA,"Source: CREDITCARDS.COM, INC., S-1, 8/10/2007    --- • YALE UNIVERSTIY ---  • Uses a proxy server or redirector server to proxy Chase web pages or web sites through your website, URL or URI • Otherwise violates intellectual property rights, including, without limitation, “scraping” text or images from Chase’s Website • Does not clearly state an online privacy policy to its visitors • Is based outs"
cuad_002.pdf,3,--- PAGE BREAK ---,"• If Affiliate manages a sub-affiliate network, the Affiliate may not pay sub-affiliates or other partners higher referral fees than the lowest tier of the public offer ($55.00). • Affiliate is prohibited from (a) installing spyware on another person’s computer, (b) causing spyware to be installed on another person’s computer, or (c) using a context based triggering mechanism to display an adverti"
cuad_002.pdf,4,--- PAGE BREAK ---,7. Order Processing   Chase will be solely responsible for processing each order placed by a customer from Affiliate’s Links. Customers may only use the Chase on-line application process to apply for a Chase credit card. “Customers” are defined herein as individuals who apply for Chase credit cards through a link in Affiliate’s Web site. Chase shall be responsible for administering application for
cuad_002.pdf,5,--- PAGE BREAK ---,"13. Commercial Use   This program is intended for commercial use only. Commissions are payable for Approved Accounts to third parties who access the Chase URL's (marketing pages) through the Links located on Affiliate’s sponsoring Web site. Affiliates who use this program to apply for credit cards for their own use are NOT in violation of this Agreement.   14. Trademarks   All Chase trademarks, tr"
cuad_002.pdf,6,--- PAGE BREAK ---,"Affiliate hereby agrees to indemnify, defend, and hold harmless Chase, its shareholders, officers, directors, employees, agents, affiliates and their respective directors, officers, employees and agents, successors and assigns, from and against any and all claims, demands, losses, liabilities, damages or expenses (including attorneys’ fees and costs) of any nature whatsoever incurred or suffered b"
cuad_002.pdf,7,WILL CONSTITUTE BINDING ACCEPTANCE OF THE CHANGE.,"20. Warranty Disclaimer   Chase makes no warranties, representations or conditions with regard to the Chase Affiliate Program or any services provided hereunder, whether express or implied, arising by law or otherwise, INCLUDING, WITHOUT LIMITATION, ANY IMPLIED WARRANTY OF MERCHANTABILITY OR    --- PERFORMANCE, COURSE OF DEALING OR USAGE OF TRADE. ---  Source: CREDITCARDS.COM, INC., S-1, 8/10/2007"
cuad_002.pdf,8,--- PAGE BREAK ---,"British Air British Airways, British Air, www.britishairways.com, www.ba.com, ba, Continental See Continental Tab Disney See “Disney” Tab Hess  Hess, www.hess.com, Amerada Holiday Inn/Priority Club Holiday Inn, Holiday Inn Express, Priority Club, IHG, www.ichotelsgroup.com, InterContinental, InterContinental Hotels Group, Crowne Plaza, Hotel Indigo, Staybridge Suites, Candlewood Suites, Marathon  "
